0:0:0:0:0:0:0:1 - - [10/May/2023:09:44:57 +0700] "GET /assign-front-end/trang-chu HTTP/1.1" 200 35074
0:0:0:0:0:0:0:1 - - [10/May/2023:09:45:00 +0700] "GET /assign-front-end/templates/web/subjects.html HTTP/1.1" 200 1167
0:0:0:0:0:0:0:1 - - [10/May/2023:09:45:00 +0700] "GET /assign-front-end/templates/web/assets/images/logos/%7B%7Bitem.Logo%7D%7D HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [10/May/2023:09:45:00 +0700] "GET /assign-front-end/templates/web/assets/db/Subjects.js HTTP/1.1" 200 2268
0:0:0:0:0:0:0:1 - - [10/May/2023:09:45:00 +0700] "GET /assign-front-end/templates/web/assets/images/logos/ASNE.png HTTP/1.1" 200 7106
0:0:0:0:0:0:0:1 - - [10/May/2023:09:45:00 +0700] "GET /assign-front-end/templates/web/assets/images/logos/ADTE.jpg HTTP/1.1" 200 6817
0:0:0:0:0:0:0:1 - - [10/May/2023:09:45:00 +0700] "GET /assign-front-end/templates/web/assets/images/logos/ADAV.jpg HTTP/1.1" 200 6928
0:0:0:0:0:0:0:1 - - [10/May/2023:09:45:00 +0700] "GET /assign-front-end/templates/web/assets/images/logos/CLCO.jpg HTTP/1.1" 200 21644
0:0:0:0:0:0:0:1 - - [10/May/2023:09:45:00 +0700] "GET /assign-front-end/templates/web/assets/images/logos/ADUI.jpg HTTP/1.1" 200 6259
0:0:0:0:0:0:0:1 - - [10/May/2023:09:45:00 +0700] "GET /assign-front-end/templates/web/assets/images/logos/ADBS.jpg HTTP/1.1" 200 6420
0:0:0:0:0:0:0:1 - - [10/May/2023:09:45:00 +0700] "GET /assign-front-end/templates/web/assets/images/logos/DBAV.png HTTP/1.1" 200 7906
0:0:0:0:0:0:0:1 - - [10/May/2023:09:45:00 +0700] "GET /assign-front-end/templates/web/assets/images/logos/DBBS.png HTTP/1.1" 200 37168
0:0:0:0:0:0:0:1 - - [10/May/2023:09:45:00 +0700] "GET /assign-front-end/templates/web/assets/images/logos/JAAV.png HTTP/1.1" 200 10203
0:0:0:0:0:0:0:1 - - [10/May/2023:09:45:00 +0700] "GET /assign-front-end/templates/web/assets/images/logos/JABS.png HTTP/1.1" 200 9873
0:0:0:0:0:0:0:1 - - [10/May/2023:09:45:00 +0700] "GET /assign-front-end/templates/web/assets/images/logos/GAME.png HTTP/1.1" 200 38110
0:0:0:0:0:0:0:1 - - [10/May/2023:09:45:00 +0700] "GET /assign-front-end/templates/web/assets/images/logos/INMA.jpg HTTP/1.1" 200 8994
0:0:0:0:0:0:0:1 - - [10/May/2023:09:45:00 +0700] "GET /assign-front-end/templates/web/assets/images/logos/HTCS.jpg HTTP/1.1" 200 9869
0:0:0:0:0:0:0:1 - - [10/May/2023:09:45:00 +0700] "GET /assign-front-end/templates/web/assets/images/logos/JSPR.png HTTP/1.1" 200 10152
0:0:0:0:0:0:0:1 - - [10/May/2023:09:45:00 +0700] "GET /assign-front-end/templates/web/assets/images/logos/MOWE.png HTTP/1.1" 200 20594
0:0:0:0:0:0:0:1 - - [10/May/2023:09:45:00 +0700] "GET /assign-front-end/templates/web/assets/images/logos/PHPP.png HTTP/1.1" 200 27857
0:0:0:0:0:0:0:1 - - [10/May/2023:09:45:00 +0700] "GET /assign-front-end/templates/web/assets/images/logos/VBPR.png HTTP/1.1" 200 23122
0:0:0:0:0:0:0:1 - - [10/May/2023:09:45:00 +0700] "GET /assign-front-end/templates/web/assets/images/logos/PMAG.jpg HTTP/1.1" 200 11291
0:0:0:0:0:0:0:1 - - [10/May/2023:09:45:00 +0700] "GET /assign-front-end/templates/web/assets/images/logos/LAYO.jpg HTTP/1.1" 200 16474
0:0:0:0:0:0:0:1 - - [10/May/2023:09:45:00 +0700] "GET /assign-front-end/templates/web/assets/images/logos/WEBU.jpg HTTP/1.1" 200 12913
0:0:0:0:0:0:0:1 - - [10/May/2023:09:45:03 +0700] "GET /assign-front-end/templates/web/quiz-app.html HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [10/May/2023:09:45:03 +0700] "GET /assign-front-end/templates/web/template-quiz.html HTTP/1.1" 200 3379
0:0:0:0:0:0:0:1 - - [10/May/2023:09:45:03 +0700] "GET /assign-front-end/templates/web/assets/db/Quizs/ADAV.js HTTP/1.1" 200 30101
0:0:0:0:0:0:0:1 - - [10/May/2023:09:45:03 +0700] "GET /assign-front-end/assets/images/logos/JAAV.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [10/May/2023:09:45:11 +0700] "GET /assign-front-end/logoff HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2023:09:45:11 +0700] "GET /assign-front-end/trang-chu HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2023:09:45:11 +0700] "GET /assign-front-end/trang-chu?sessionTimeout HTTP/1.1" 200 33862
